ID_Place,country,city,latitude,longitude
Place_2267,Argentina,El Aguilar,-23.3452,-66.676
Place_2268,Bolivia,Atocha,-21.6736,-66.8947
Place_2269,Argentina,Hualfín,-27.4675,-66.7251
Place_2270,Argentina,Londres,-28.0401,-66.877
Place_2271,Argentina,Abra Pampa,-22.5296,-66.1817
Place_2272,Chile,Iquique,-19.3269,-69.3851
Place_2273,Argentina,Calingasta,-31.8429,-69.515
Place_2274,Chile,Ovalle,-30.595,-71.4315
Place_2275,Argentina,San Antonio de los Cobres,-24.0863,-66.8645
Place_2276,Chile,San Pedro de Atacama,-22.6758,-67.7836
Place_2277,Argentina,Caucete,-31.5741,-68.1945
Place_2278,Chile,Calama,-21.5403,-68.5078
Place_2279,Peru,Tarata,-17.3518,-69.3804
Place_2280,Argentina,Villa Basilio Nievas,-31.3015,-68.8829
Place_2281,Chile,Calama,-22.2205,-68.7216
Place_2282,Chile,Illapel,-31.5382,-71.5037
Place_2283,Chile,Arica,-18.5285,-69.3814
Place_2284,Argentina,Calingasta,-31.4648,-69.4569
Place_2285,Argentina,Calingasta,-31.7222,-69.3598
Place_2286,Chile,Coquimbo,-30.1956,-71.3476
Place_2287,Chile,La Serena,-29.3602,-71.0244
Place_2288,Peru,Estique,-17.5662,-69.9017
Place_2289,Chile,Arica,-18.4352,-70.0348
Place_2290,Chile,Los Andes,-32.7971,-69.8145
Place_2291,Chile,La Serena,-29.4385,-71.3879
Place_2292,Chile,Los Andes,-32.4851,-70.0266
Place_2293,Chile,Calama,-21.8394,-68.5133
Place_2294,Bolivia,Colchani,-20.1104,-68.1921
Place_2295,Chile,Calama,-21.1118,-69.0072
Place_2296,Chile,Ovalle,-30.5055,-71.6897
Place_2297,Chile,Araucania,-38.6348,-73.3766
Place_2298,Chile,Tocopilla,-21.9964,-70.3857
Place_2299,Argentina,San Martín,-33.577,-67.6901
Place_2300,Bolivia,Colchani,-20.9471,-67.8666
Place_2301,Bolivia,Machacamarca,-18.1486,-66.9594
Place_2302,Argentina,San Martín,-33.6324,-68.7592
Place_2303,Chile,Calama,-21.4543,-68.5081
Place_2304,Argentina,San Antonio de los Cobres,-24.0615,-67.0144
Place_2305,Chile,Calama,-21.1264,-68.9719
Place_2306,Argentina,El Aguilar,-23.081,-66.4364
