ID_Date,ID_Place,ID_Mag,mag,depth,dmin
Date_0293,Place_0293,mwr,4.4,108.33,103.082
Date_0294,Place_0294,mb,4.4,24.58,46.148
Date_0295,Place_0295,mwr,4.1,23.81,52.82
Date_0296,Place_0296,mb,4.5,217.23,151.01
Date_0297,Place_0297,mb,4.2,223.16,170.47
Date_0298,Place_0298,mb,4.8,10.0,152.233
Date_0299,Place_0299,mb,4.2,180.04,183.146
Date_0300,Place_0300,mb,4.3,170.46,46.593
Date_0301,Place_0301,mww,5.6,28.0,52.486
Date_0302,Place_0302,mb,4.3,228.63,154.568
Date_0303,Place_0303,mb,4.1,213.89,234.298
Date_0304,Place_0304,mb,4.3,162.21,15.234
Date_0305,Place_0305,mb,4.4,31.91,48.706
Date_0306,Place_0306,mb,4.3,69.82,28.245
Date_0307,Place_0307,ml,4.2,44.93,6.338
Date_0308,Place_0308,ml,2.8,32.28,31.803
Date_0309,Place_0309,mb,4.2,69.36,26.021
Date_0310,Place_0310,mb,4.6,216.44,161.018
Date_0311,Place_0311,mww,5.3,191.55,96.633
Date_0312,Place_0312,mb,4.2,106.96,6.672
Date_0313,Place_0313,mwr,4.2,15.37,136.887
Date_0314,Place_0314,mb,4.5,99.01,52.598
Date_0315,Place_0315,mb,4.4,255.08,240.526
Date_0316,Place_0316,mb,4.5,206.01,162.13
Date_0317,Place_0317,mb,4.3,10.0,234.854
Date_0318,Place_0318,mb,4.3,124.46,94.186
Date_0319,Place_0319,mb,4.3,192.1,141.669
Date_0320,Place_0320,mww,5.1,96.77,73.17
Date_0321,Place_0321,ml,3.8,199.2,156.236
Date_0322,Place_0322,mb,4.3,115.11,37.808
Date_0323,Place_0323,mb,4.4,10.0,114.091
Date_0324,Place_0324,mb,4.1,104.47,17.014
Date_0325,Place_0325,mb,4.3,102.01,66.942
Date_0326,Place_0326,mb,4.9,103.25,47.149
Date_0327,Place_0327,mb,4.4,10.0,140.779
Date_0328,Place_0328,mb,4.2,198.71,125.211
Date_0329,Place_0329,mb,4.2,10.0,175.696
Date_0330,Place_0330,mb,4.1,205.16,163.686
Date_0331,Place_0331,mb,4.7,83.5,14.678
Date_0332,Place_0332,mb,4.2,114.35,18.904
Date_0333,Place_0333,mb,4.2,21.0,55.266
Date_0334,Place_0334,mb,4.1,63.34,32.359
Date_0335,Place_0335,mb,4.4,133.03,36.029
Date_0336,Place_0336,ml,3.3,49.9,33.249
Date_0337,Place_0337,mwr,4.5,176.3,178.921
Date_0338,Place_0338,mb,4.3,124.45,74.17
Date_0339,Place_0339,mb,4.6,10.0,84.178
Date_0340,Place_0340,mb,4.5,10.0,159.683
Date_0341,Place_0341,mwr,4.9,60.37,72.502
Date_0342,Place_0342,mb,4.1,191.69,243.306
Date_0343,Place_0343,mb,4.5,105.21,79.619
Date_0344,Place_0344,mb,4.7,108.07,52.042
